简介,关键词
全球范围内基于VPM模型的GPP数据,GPP; VPM; 8天
"NDVI中国年最大值合成产品（2000-2015年）源于Landsat 5（TM）、Landsat 7（ETM+）和Landsat 8 （OLI/TIRS）地表反射率（Surface reflectance），空间分辨率为30m。首先通过质量检测波段（“pixel_qa”）剔除云、云影、雪等异常观测，然后合并上述三个数据集，通过波段运算和最大值合成法合成每年的NDVI最大值，并将NDVI植被指数压缩成DN值（uint8, 0~255）。数据预处理在Google Earth Engine平台上进行。

",NDVI; 植被最大绿度; 30m; 
"LSWI中国8天产品（2000-2015年）源于MOD09A1 V6 地表反射率数据，空间分辨率为500m。首先通过质量检测波段（“pixel_qa”）剔除云、云影、雪等异常观测，然后利用波段运算得到每8天的LSWI指数，数据类型为浮点型（float，-1~1）。数据预处理在Google Earth Engine平台上进行。

",LSWI; 水分胁迫; 500m;
本数据集为长时间序列（2000-2016）中国范围内的总初级生产力（gross primary productivity，GPP）产品数据。基于EVI、LSWI等遥感数据及气温、降水、辐射等气象数据，利用光能利用率VPM模型计算得到，数据空间分辨率为500m，时间分辨率为8天，格式为GeoTIFF格式的栅格数据。,GPP; VPM; 500m; 8天
通过地面黑臭水体和非黑臭水体数据的光谱特征差异，在2017年国产高分2号卫星上识别出北京市建成区黑臭水体空间分布。建成区GF-2影像底图数据经过影像融合、几何精校正、大气校正的处理,黑臭水体; 北京市; 建成区; 2017年; 遥感底图
通过地面水体光谱数据特征，在2017年国产高分2号卫星上识别出北京市建成区城市河流空间分布,城市河流; 北京市; 建成区; 2017年 
土壤环境质量数据由2km网格土壤普查采样点位数据反距离加权方法插值得到，包括pH、有机质、全氮、全磷、全钾、粉粒、粘粒、砂粒。无机污染物分布数据由2km网格土壤普查采样点位数据反距离加权方法插值得到，包括砷（As）、镉(Cd)、钴(Co)、铬(Cr)、铜(Cu)、汞(Hg)、猛(Mn)、镍(Ni)、铅(Pb)、硒(Se)、钒(V)、锌(Zn)。土壤环境质量序图包括区域地势图、行政图、2015年土地利用图、普查点位图。典型区域边界和遥感底图包括成都平原、长三角、珠三角、辽中南、京津唐、山东半岛、渭河平原、闽东南、湘赣皖鄂、云贵地区TM影像遥感2006年遥感底图(含边界和缩略图)。全国土壤环境质量分省统计以覆盖全国32个省、市、地区为统计单元，统计报表了钒、镉、铬、汞、钴、猛、镍、铅、砷、铜、硒、锌12种元素的分类多统计量统计。,土壤; 理化性质; 无机污染物; 环境质量; 序图; 典型区域; 成都平原; 长三角; 珠三角; 辽中南; 京津唐; 山东半岛; 渭河平原; 闽东南; 湘赣皖鄂; 云贵地区
以覆盖了2018年北京市建成区范围的0.8米GF-2 PMS原始影像集为基础，完成了图像的预处理，包括影像的融合、几何精校正、大气校正、水体提取等步骤。其中融合是首先将4米的MSS4个波段间的几何偏差先做了复原，然后再与PAN融合，形成0.8米4个波段的DN值影像。不仅能够精确地校正了波段间的偏差，还能保持很高的波谱保真度。几何精校正是以全球公开的Sentinel-2（空间分辨率10米）正射影像产品作为参考影像，通过影像匹配的方法自动获取控制点用于几何精校正，并利用了区域网平差保证了整个研究区内不同时相影像数据的几何一致性。绝对几何精度在10米以内，接边精度在2个像元以内。大气校正采用了相对辐射归一化方法，以与GF-2时相接近的Sentinel-2的L2A影像作为参考影像，输出GF-2反射率产品。经验证，反射率误差在4个波段的平均相对误差在30%以内。在反射率产品基础上，提取河流水体中心线，并带入黑臭水体模型，判别出黑臭水体河段并输出。经验证，黑臭水体反演的精度超过70%。,北京市建成区;河流分布;2018年
主要收录农产品中铅含量数据,农产品;镉含量
主要收录农产品中镉含量数据,农产品;铅含量
统计局入户调查数据,粮食;口粮;消费
统计局入户调查数据,粮食;畜禽; 消费
官方统计数据，包含水稻和小麦,粮食;口粮;贸易
官方统计数据，包含各种肉类,粮食;畜禽;贸易
官方统计数据，包含玉米和大豆,粮食;饲料粮;贸易
官网统计数据，包括粮食播种总面积以及稻谷、小麦、玉米、大豆、薯类的播种面积,作物类型;种植面积
官网统计数据，包括粮食单位面积产量和总产量以及稻谷、小麦、玉米、大豆、薯类的单位面积产量和总产量,单位面积产量;总产量
官网统计数据，包括大牲畜年底头数、牛年底头数、肉猪出栏数、猪年底头数、羊年底头数,畜禽种类;畜禽数量
滨州、东营、禹城农田背景影像数据,遥感影像
我国1980-2010年成灾地震灾害损失数据，包括地震发生时间、地点、震级、烈度、死亡人口数、重伤人口数、轻伤人口数、直接经济损失等信息。,地震灾害;灾害损失;人口伤亡;经济损失
我国1999-2010年分省地质灾害灾情统计数据，包括滑坡、崩塌、泥石流和地面塌陷等地质灾害所造成的人员伤亡和经济损失等。,地质灾害;滑坡;泥石流
我国1980-2010年干旱灾情统计，包括干旱等级和受灾情况；评估区域干旱受灾敏感性所需基础数据，包括全国土地利用类型数据、全国各地区潜在蒸散数据和全国各地区土地类型数据。,农业干旱;农作物受灾面积;饮水困难人口数;土地利用;土壤类型;潜在蒸散
我国1980-2010年洪水灾害损失数据，包括受灾人口、死亡人口、受灾面积、经济损失等；洪水发生可能性，值域0-1，分1×1km栅格和县域矢量数据；洪水孕灾环境基础数据，包括全国1km格点DEM高程数据和全国0.5km格点坡度数据。,洪涝灾害;3日降雨量;洪灾中心;流域;洪水发生可能性;DEM;坡度
数据生产制作是以各期Landsat TM/ETM遥感影像为主要数据源，通过人工目视解译生成。土地利用类型为城镇建设用地,城市建设用地;空间分布
数据生产制作是以各期Landsat TM/ETM遥感影像为主要数据源，通过人工目视解译生成。土地利用类型为耕地,耕地资源;空间分布
"数据生产制作是以MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD) 等为主要数据源估算生成。",京津冀;PM2.5;空间分布
"数据生产制作是以MODIS, MISR and SeaWiFS Aerosol Optical Depth (AOD) 等为主要数据源估算生成。",长三角;PM2.5;空间分布
"中国陆地生态系统类型空间数据在遥感解译获取的1：10万比例尺土地利用/土地覆盖数据的基础上，通过对各生态系统类型进行辨识和研究，经过分类处理形成多期中国陆地生态系统类型空间分布数据集。

       中国陆地生态系统类型定义见下表，具体划分为7大生态系统类型：

（1）农田生态系统，主要包括土地利用/土地覆盖遥感分类系统中的水田11、旱地12；

（2）森林生态系统，主要包括土地利用/土地覆盖遥感分类系统中的密林地（有林地）21、灌丛22、疏林地23、其它林地24；

（3）草地生态系统，主要包括土地利用/土地覆盖遥感分类系统中的高覆盖度草地31、中覆盖度草地32、 低覆盖度草地33；

（4）水体与湿地生态系统，主要包括土地利用/土地覆盖遥感分类系统中的沼泽地64、河渠41、湖泊42、水库43、冰川与永久积雪44、 滩地46；

（5）荒漠生态系统，主要包括土地利用/土地覆盖遥感分类系统中的沙地61、戈壁62、盐碱地63；高寒荒漠67；

（6）聚落生态系统，主要包括土地利用/土地覆盖遥感分类系统中的城镇51、农村居民地52、工矿53

（7）其它生态系统，主要包括土地利用/土地覆盖遥感分类系统中的裸土地65和裸岩砾石地66。",中国;生态系统;空间分布
本数据为2008年全国“三生用地”1km栅格图，根据2008年土地利用图、各级生态功能区划和相关统计数据提取,“三生用地”;空间分布
本数据为2008年京津冀和长三角重点区域城市密集生活生产区1km栅格图，根据2008年土地利用图提取,城市密集;生活生产;空间分布
本数据为2008年京津冀和长三角重点区域能矿资源开发生产区1km栅格图，根据2008年土地利用图提取,能矿;资源开发;空间分布
本数据为2008年京津冀和长三角重点区域农产品主产区1km栅格图，根据2008年土地利用图提取,农产品;主产区;空间分布
本数据为2008年京津冀和长三角重点区域核心生态空间1km栅格图，根据2008年土地利用图和各级生态功能区划提取,核心生态空间
京津冀地区（含雄安新区）地貌数据集,地貌
京津冀地区2010和2015年土地利用数据集,土地利用
常住人口指全年经常在家或在家居住6个月以上，也包括流动人口在所在的城市居住就称常住人口。,常住人口
户籍人口是指公民依《中华人民共和国户口登记条例》已在其经常居住地的公安户籍管理机关登记了常住户口的人。这类人口不管其是否外出，也不管外出时间长短，只要在某地注册有常住户口，则为该地区的户籍人口。,户籍人口
流动人口是指离开户籍所在地的县、市或者市辖区，以工作、生活为目的异地居住的成年育龄人员。,流动人口
城镇人口是指居住于城市、集镇的人口，主要依据人群的居住地和所从事的产业进行归类。在统计上，城镇人口为在城镇居住时间超过6个月以上的人口。,城镇人口
农村人口是指居住在农村或农村聚落的人口。,农村人口
污染物是指进入环境后能够直接或者间接危害人类的物质，这里我们选择了大气污染物中二氧化硫和氮氧化合物，以及水体污染物中的化学需氧量。,污染物
国内生产总值是指在一定时期内，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值。国内生产总值是由第一产业增加值、第二产业增加值（含工业增加值）、第三产业增加值构成的。,国内生产总值
系统搜集2000年第五次人口普查和2010年第六次人口普查出版资料，数据库字段包括常住人口、户籍人口、人口密度、迁移人口、城镇人口、城镇化率等。,人口地理;城镇化
系统分析改革开放以来历次人口普查对城、镇、村的统计口径，比较分析不同普查时点期城人口、镇人口和村人口的可比性，整理2000年（城人口）、2010年（城人口）资料进行汇总，校正并录入人口普查时点各城市经纬坐标，构建中国城市规模空间分布数据库。以2014版本国家城市规模划分新标准，按照历次人口普查城人口数据，将城市划分为超大城市、特大城市、I型大城市、II型大城市、中等城市、I型小城市、II型小城市等，。,人口地理;城镇化
结合联合国2030可持续发展议程中提出的三个维度17个方面的可持续发展设定目标基础上，提出了适合我国国情的可持续发展指标评价体系。这一体系包括经济发展质量、社会民生、人居自然环境、环境治理能力、发展节能水平、外部开放风险六个方面28个指标。,城市地理;可持续发展
系统搜集2017年的城市统计年鉴，筛选可用于智慧经济、智慧交通、智慧教育、智慧管理等方面评价的指标和数据，完成智慧城市评价的基础数据可视化和矢量化,城市地理;智慧城市
地区生产总值（GDP）是指本地区所有常住单位在一定时期内生产活动的最终成果。本数据集按照时间跨度从2000年开始，每3年一期，整理了2000年、2003年、2006年、2009年、2012年和2015年全国各省级行政区和各地级市行政区的GDP数据。数据来源以各年份《中国区域统计年鉴》为基础，补充添加了部分《中国城市年鉴》数据和政府工作报告数据。,地方生产总值
人均地区生产总值（人均GDP）是指本地区所有常住单位在一定时期内生产活动的最终成果除以本地区人口总数得到的结果。本数据集按照时间跨度从2000年开始，每3年一期，整理了2000年、2003年、2006年、2009年、2012年和2015年全国各省级行政区和各地级市行政区的人均GDP数据。数据来源以各年份《中国区域统计年鉴》为基础，补充添加了部分《中国城市年鉴》数据和政府工作报告数据。,人均地方生产总值
三次产业结构是指在地区生产总值中，第一、二、三产业产值各占地区生产总值的百分比。本数据集按照时间跨度从2000年开始，每3年一期，整理了2000年、2003年、2006年、2009年、2012年和2015年全国各省级行政区和各地级市行政区的三次产业结构数据和投资结构数据(住宅销售额/固定资产投资总额)。数据来源以各年份《中国区域统计年鉴》为基础，补充添加了部分《中国城市年鉴》数据和政府工作报告数据。,三次产业结构
本数据集为中国地表坡向数据。基于2010年中国地表高程数据，使用ArcGIS软件经过数据拼接、投影转换、边界裁剪等数据处理，使用坡向计算工具，计算得到的中国地表坡向栅格数据。,中国;坡向;高程
本数据集为中国地表高程数据。使用ArcGIS软件经过数据拼接、投影转换、边界裁剪等数据处理方法得到。,中国;高程;海拔
本数据为2000年中国27个省（辽宁、吉林、内蒙古（部 分地区）、北京、天津、上海、河北、河南、陕西、宁夏、山西、山东、安徽、江苏、湖南、 湖北、江西、浙江、福建、广东、海南、云南、贵州、四川、重庆、青海、西藏）的乡镇级人口密度数据，利用乡镇级人口统计数据和乡镇边界数据进行一一匹配形成人口空间数据库，再利用ArcGIS矢量转栅格工具得到。,人口密度;乡镇级尺度;中国
本数据为中国政区分布数据，使用ArcGIS得到的不同比例尺行政区分布数据，分别包含2013年1200万、1800万和2500万的省级、地级市与县级的行政区分布。,中国;行政区;区划
本数据集为中国各省发电量数据，原数据来自统计年鉴、统计公报等资料，通过分年份、分类别、分城市提取数据并录入Excel得到。,发电量;能源;年鉴
本数据集为中国分区能源消耗数据，原数据来自统计年鉴、统计公报等资料，通过分年份、分类别、分城市提取数据并录入Excel得到。,能源;能源消费;分区
本数据集为中国自然灾害损失分布数据，原数据来自统计年鉴、统计公报等资料，通过分年份、分类别、分城市提取数据并录入Excel得到。,自然灾害;灾害损失;年鉴
本数据集为中国路网数据，使用ArcGIS的矢量数据合并工具得到的2012-2014年的中国道路数据，包括2012年高速国道数据与2014年的铁路数据。,路网;高速国道;铁路
本数据集为中国建设用地数据，以2015年中国1:10万比例尺土地利用现状遥感监测数据库数据为数据源，利用ArcGIS软件平台，进行数据属性提取、重分类等操作，生成2015年中国建设用地分布数据。,建设用地;土地利用;遥感监测
本数据集为中国干旱指数数据产品，通过使用降水距平百分率方法计算TRMM 3B43降水数据，然后对计算结果按照降水距平百分率分类标准进行分级，得到特旱、重旱、中旱、轻旱和无旱五个等级的干旱分布，最后进行充分类操作得到。,干旱指数;干旱分布;干旱等级
本数据集为中国地级市经济总量数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市经济总量空间分布数据。,经济总量;产业;空间分布
本数据集为中国地级市农业产量数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市农业产量空间分布数据。,农业产量;粮食作物;空间分布
本数据集为中国分省工业产量数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市工业产量空间分布数据。,工业产量;工业产品;空间分布
本数据集为分省能矿产量数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市能矿产量空间分布数据。,能源产量;矿产产量;空间分布
本数据集为中国地级市全域旅游数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市全域旅游空间分布数据。,旅游景区;旅游收入;空间分布
本数据集为中国地级市就业收入数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市就业收入空间分布数据。,就业收入;工资收入;空间分布
本数据集为中国地级市社会福祉数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市社会福祉空间分布数据。,社会福祉;医院床位;空间分布
本数据集为中国地级市新型城镇化数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市新型城镇化空间分布数据。,城镇化;老龄化;空间分布
本数据集为中国地级市居民健康数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市居民健康空间分布数据。,居民健康;预期寿命;空间分布
本数据集为中国地级市教育发展数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市教育发展空间分布数据。,教育发展;学生数量;空间分布
本数据集为中国地级市污染排放数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市经济污染排放分布数据。,污染物;排放量;空间分布
本数据集为中国地级市能源消耗数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市能源消耗空间分布数据。,能源;消耗;空间分布
本数据集为中国地级市耕地保护数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市耕地保护空间分布数据。,耕地保护;基本农田;空间分布
本数据集为中国地级市绿化覆盖数据，以2010-2015年中国相关社会经济统计年鉴、统计公报等为数据源，利用ArcGIS软件平台，将统计数据与行政区划数据匹配，实现空间位置信息与属性信息统一，生成2010-2015年中国地级市绿化覆盖空间分布数据。,绿化覆盖;森林覆盖;空间分布
人口密度是表现人口分布最主要的形式和衡量人口分布地区差异的主要指标。乡镇（街道）处于我国行政体系的基层位置，也是中国人口普查数据公开发布的最小行政单元，乡镇级人口密度数据能够客观、精细地表征中国人口分布的空间格局和态势，对于资源、环境及人口问题的研究具有十分重要的意义。本数据集包含30个省（直辖市、自治区）乡镇级行政界线数据及第五次人口普查乡镇级人口统计数据，保证乡镇边界和县（区）界一致、各乡镇单元空间范围和人口普查信息一一对应。在此基础上，准确地匹配了各乡镇的空间范围及人口普查信息，计算了公里格网尺度的各乡镇平均人口密度，形成了本数据集。,人口密度;乡镇级尺度;中国
本数据集为全国水资源一级分区水资源量数据，包含降水量、地表水资源量、地下水资源量、地表与地下水资源不重复量与水资源总量等要素，涵盖全国范围，并根据流域片区进一步划分为北方6区、南方6区、松花江区、辽河区、黄河区、淮河区、长江区、太湖区、东南诸河区、西南诸河区与西北诸河区。本数据来源于中华人民共和国水利部的2015年中国水资源公报，通过手动录入获取,水资源一级分区;降水量;水资源公报
本数据集为全国水资源一级分区水资源量数据，包含供水量和用水量，其中供水量包括地表水资源量、地下水资源量，用水量包括生活用水、工业用水、农业用水、人工生态环境，涵盖全国范围，并根据流域片区进一步划分为北方6区、南方6区、松花江去、辽河去、黄河区、淮河区、长江区、太湖区、东南诸河区、西南诸河区与西北诸河区，其中人工生态环境补水不包括太湖的引江济太调水9.6亿立米，浙江的环境配水25.5亿立米和新疆的塔里木河向大西海子以下河道输送生态水、阿勒泰地区向乌伦古湖及科克苏湿地补水10.2亿立米。本数据来源于中华人民共和国水利部的2015年中国水资源公报，通过手动录入获取。,水资源一级分区;供水量;水资源公报
本数据集为全国主要河流代表水文站与实测水沙特征值（2015年）（水文站）数据，包含河流代表水文站、控制流域面积、年径流量、年输沙量，涵盖全国主要河流，包括长江、黄河、淮河、海河、珠江、松花江、辽河、钱塘江、闽江、塔里木河、黑河、青海湖。本数据来源于中华人民共和国水利部的2015年中国水资源公报，通过手动录入获取。,水文站;水沙特征值;水资源公报
本数据集为国家级重点预防保护区2015年水土流失面积（动态监测区域）数据，包含土壤侵蚀强度，并按照侵蚀强度分为轻度、中度、强烈、极强烈、剧烈，主要包括国家级重点预防保护区，包括大兴安岭、呼伦贝尔、长白山、滦河、黑河绿洲、塔里木河绿洲、子午岭、六盘山、三江源、金沙江上游、岷江上游、桐柏山大别山、新安江、东江上游区域统计各侵蚀强度的面积以及各侵蚀强度面积占土壤侵蚀面积的比例以及以及国家级重点治理区水土流失状况（动态监测区域），并按照侵蚀强度分为轻度、中度、强烈、极强烈、剧烈，主要包括东北黑土地治理区、西辽河大凌河中上游治理区、永定河治理区、太行山治理区、河龙区间多沙粗沙治理区、泾河北洛河上游治理区、祖丽河渭河上游治理区、湟水洮河中下游治理区、伊洛河三门峡库区等区域统计各侵蚀强度的面积以及各侵蚀强度面积占土壤侵蚀面积的比例。本数据来源于中华人民共和国水利部的2015年中国水土保持公报，通过手动录入获取。,保护区;水土流失;水土保持公报
本数据集为2010-2016年中国289个地级市经济总量指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。,经济总量;地级市;空间分布;全国
本数据集为2010-2016年中国289个地级市农业产量指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。,农业产量;地级市;空间分布
本数据集为2010-2015年中国34个省级行政单位工业产品指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共6期，原始数据是《中国区域统计年鉴》及各省统计年鉴数据。数据格式为shp格式，省级行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。,工业产品;地级市;空间分布
本数据集为2010-2015年中国34个省级行政单位能矿产量指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共6期，原始数据是《中国区域统计年鉴》及各省统计年鉴数据。数据格式为shp格式，省级行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。,能矿产量;地级市;空间分布
"本数据集为2010-2016年中国289个地级市全域旅游指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",全域旅游;地级市;空间分布
"本数据集为2010-2016年中国289个地级市就业收入指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",就业收入;地级市;空间分布
"本数据集为2010-2016年中国289个地级市社会福祉指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",社会福祉;地级市;空间分布
"本数据集为2010-2016年中国289个地级市新型城镇化指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",新型城镇化;地级市;空间分布
"本数据集为2010-2016年中国289个地级市居民健康指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",居民健康;地级市;空间分布
"本数据集为2010-2016年中国289个地级市教育发展指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",教育发展;地级市;空间分布
"本数据集为2010-2016年中国289个地级市污染排放指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",污染排放;地级市;空间分布
"本数据集为2010-2016年中国289个地级市能源消耗指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",能源消耗;地级市;空间分布
"本数据集为2010-2016年中国289个地级市耕地保护指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",耕地保护;地级市;空间分布
"本数据集为2010-2016年中国289个地级市绿化覆盖指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共7期，原始数据是《中国城市统计年鉴》及各省统计年鉴数据。数据格式为shp格式，地级市行政区矢量数据来自中国科学院资源环境数据云平台（http://www.resdc.cn/data.aspx?DATAID=201），地理坐标系为GCS_Krasovsky_1940，投影坐标系为Krasovsky_1940_Albers。

",绿化覆盖;地级市;空间分布
"本数据集为2015年中国289个地级市城市规划指标数据，支持课题为“大数据驱动的‘美丽中国’全景评价与决策支持”下子课题“面向‘美丽中国’的地球大数据综合集成”，共1期，原始数据是《中国城市统计年鉴》数据。数据格式为shp格式。

",城市规划;地级市;空间分布
"本数据集为2017年2月以来经网络爬虫和数据再分析技术获得的全国网络用户逐月活跃指数的栅格数据，共11期。经归一化处理，网格值在0到1范围内，反映网络用户在网格单元上的定位活动强弱。数据格式为TIFF格式，空间分辨率为0.01度。

",网络;用户活跃度;城市
本数据集为2017年2月以来经网络爬虫和数据再分析技术获得的全国网络用户逐月活跃指数的矢量数据，以366个城市行政区划为地理单元。经归一化处理，网格值在0到1范围内，反映网络用户在城市尺度的定位活跃程度。数据格式为Shapefile格式。,网络;用户活跃度;城市
本数据集为2017年2月以来经网络爬虫和数据再分析技术获得的全国网络用户逐月活动异常指数的栅格数据，共11期，以0.01度网格为地理单元。通过时序异常监测方法，统计每个网格的异常检测次数，反映网络用户活动在网格位置上的异常程度。数据格式为TIFF格式。,网络用户;活动异常;城市
本数据集为2017年2月以来经网络爬虫和数据再分析技术获得的全国网络用户逐月活动异常指数的矢量数据，以366个城市行政区划为地理单元。通过时序异常监测方法，检测城市范围内的异常网格数量，反映网络用户活动的异常程度。数据格式为Shapefile格式。,网络用户;活动异常;城市
